title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
War,"$4,654,000","$62,525,155","$67,179,155",Yash Raj Films,"$1,607,627",305 theaters,"$21,000,000",N/A,"Action, Thriller","Oct 2, 2019"
The Last Black Man in San Francisco,"$4,515,719","$115,005","$4,630,724",A24,"$235,272",207 theaters,N/A,R,Drama,"Jun 7, 2019"
Tolkien,"$4,535,154","$4,554,886","$9,090,040",Fox Searchlight Pictures,"$2,200,537","1,501 theaters",N/A,PG-13,"Biography, Drama, Romance, War","May 10, 2019"
Pavarotti,"$4,600,249","$3,284,767","$7,885,016",CBS Films,"$144,032",288 theaters,N/A,PG-13,"Biography, Documentary, Music","Jun 7, 2019"
Bring the Soul: The Movie,"$4,809,800","$6,831,319","$11,641,119",Trafalgar Releasing,"$2,296,491",873 theaters,N/A,N/A,"Documentary, Music","Aug 7, 2019"
The Sun Is also a Star,"$4,950,029","$1,800,000","$6,750,029",Warner Bros.,"$2,511,530","2,073 theaters",N/A,PG-13,"Drama, Music, Romance","May 17, 2019"
The Mustang,"$5,043,620","$1,362,196","$6,405,816",Focus Features,"$71,657",527 theaters,N/A,R,Drama,"Mar 15, 2019"
Don't Let Go,"$5,215,062","$72,949","$5,288,011",OTL Releasing,"$2,338,669",922 theaters,"$5,000,000",R,"Drama, Horror, Mystery, Sci-Fi, Thriller","Aug 30, 2019"
The Goldfinch,"$5,332,621","$4,600,000","$9,932,621",Warner Bros.,"$2,679,027","2,542 theaters","$45,000,000",R,Drama,"Sep 13, 2019"
Gully Boy,"$5,566,534","$22,575,461","$28,141,995",Viva Pictures,"$2,045,068",270 theaters,N/A,N/A,"Drama, Music, Romance","Feb 14, 2019"
Stan & Ollie,"$5,470,235","$18,950,688","$24,420,923",Sony Pictures Classics,"$78,104",754 theaters,N/A,PG,"Biography, Comedy, Drama, Family, History",N/A
Gloria Bell,"$5,611,123","$5,533,883","$11,145,006",A24,"$145,218","1,127 theaters",N/A,R,"Comedy, Drama, Romance",N/A
Arctic Dogs,"$5,801,249","$4,078,622","$9,879,871",Entertainment Studios Motion Pictures,"$2,901,335","2,844 theaters",N/A,PG,"Adventure, Animation, Comedy, Family","Nov 1, 2019"
